26/07/2015 00:00:00 : P(A): 0.1, P(B): 0.1, Combined, Result: 0.010000000000000002 
26/07/2015 20:30:20 : P(A): 0.5, P(B): 0.45, Either, Result: 0.725 
26/07/2015 20:30:26 : P(A): 0.5, P(B): 0.45, Either, Result: 0.725 
26/07/2015 21:09:00 : P(A): 0.1, P(B): 0.1, Combined, Result: 0.010000000000000002 
26/07/2015 21:13:47 : P(A): 0.1, P(B): 0.1, Combined, Result: 0.010000000000000002 
26/07/2015 21:13:52 : P(A): 0.1, P(B): 0.1, Combined, Result: 0.010000000000000002 
26/07/2015 21:14:37 : P(A): 0.1, P(B): 0.1, Combined, Result: 0.010000000000000002 
26/07/2015 21:14:48 : P(A): 0.1, P(B): 0.2, Combined, Result: 0.020000000000000004 
26/07/2015 21:15:05 : P(A): 0.1, P(B): 0.2, Either, Result: 0.28 
26/07/2015 21:15:07 : P(A): 0.1, P(B): 0.2, Combined, Result: 0.020000000000000004 
26/07/2015 23:42:04 : P(A): 0.2, P(B): 0.8, Combined, Result: 0.16000000000000003 
26/07/2015 23:42:07 : P(A): 0.2, P(B): 0.8, Either, Result: 0.84 
26/07/2015 23:42:08 : P(A): 0.2, P(B): 0.8, Combined, Result: 0.16000000000000003 
26/07/2015 23:42:11 : P(A): 0.2, P(B): 0.8, Either, Result: 0.84 
26/07/2015 23:42:30 : P(A): 0.2, P(B): 0.8, Combined, Result: 0.16000000000000003 
26/07/2015 23:42:33 : P(A): 0.2, P(B): 0.8, Either, Result: 0.84 
